Georgia|Meriwether|M|32.6|40.4
Georgia|Miller|M|30.0|37.2
Georgia|Mitchell|M|34.8|40.9
Georgia|Monroe|M|28.0|37.7
Georgia|Montgomery|M|31.0|38.2
Georgia|Morgan|M|29.1|36.9
Georgia|Murray|M|30.8|39.2
Georgia|Muscogee|M|27.2|36.4
Georgia|Newton|M|31.2|36.9
Georgia|Oconee|M|24.6|32.6
Georgia|Oglethorpe|M|30.1|38.9
Georgia|Paulding|M|30.2|36.8
Georgia|Peach|M|31.4|38.6
Georgia|Pickens|M|29.0|35.0
Georgia|Pierce|M|31.1|38.3
Georgia|Pike|M|29.7|37.5
Georgia|Polk|M|32.5|35.5
Georgia|Pulaski|M|30.3|40.0
Georgia|Putnam|M|28.1|36.0
Georgia|Quitman|M|35.2|44.2
Georgia|Rabun|M|26.0|33.9
Georgia|Randolph|M|34.8|42.7
Georgia|Richmond|M|28.2|35.4
Georgia|Rockdale|M|28.2|32.5
Georgia|Schley|M|30.9|40.4
Georgia|Screven|M|34.2|41.7
Georgia|Seminole|M|30.9|37.5
Georgia|Spalding|M|31.8|38.8
Georgia|Stephens|M|29.4|36.7
Georgia|Stewart|M|32.6|37.8
Georgia|Sumter|M|31.3|36.6
Georgia|Talbot|M|32.8|40.5
Georgia|Taliaferro|M|36.7|44.1
Georgia|Tattnall|M|31.5|38.8
Georgia|Taylor|M|33.3|40.6
Georgia|Telfair|M|33.9|38.6
Georgia|Terrell|M|35.1|43.2
Georgia|Thomas|M|30.8|33.5
Georgia|Tift|M|29.9|36.1
Georgia|Toombs|M|29.9|36.9
Georgia|Towns|M|27.6|34.5
Georgia|Treutlen|M|32.9|41.3
Georgia|Troup|M|29.8|37.1
Georgia|Turner|M|32.7|41.1
Georgia|Twiggs|M|33.4|42.4
Georgia|Union|M|27.8|32.3
Georgia|Upson|M|32.7|40.0
Georgia|Walker|M|32.3|39.2
Georgia|Walton|M|30.4|35.7
Georgia|Ware|M|32.6|36.9
Georgia|Warren|M|35.3|41.2
Georgia|Washington|M|33.1|39.5
Georgia|Wayne|M|31.0|39.4
Georgia|Webster|M|34.4|37.8
Georgia|Wheeler|M|32.9|40.6
Georgia|White|M|27.0|33.3
Georgia|Whitfield|M|31.6|37.3
Georgia|Wilcox|M|32.4|40.0
Georgia|Wilkes|M|32.9|39.9
Georgia|Wilkinson|M|31.4|38.3
Georgia|Worth|M|31.9|39.8
Hawaii|Hawaii|M|21.8|28.2
Hawaii|Honolulu|M|21.3|26.9
Hawaii|Kalawao|M|23.5|29.8
Hawaii|Kauai|M|19.4|25.8
Hawaii|Maui|M|23.5|29.8
Idaho|Ada|M|24.6|30.3
Idaho|Adams|M|26.7|35.4
Idaho|Bannock|M|27.2|34.5
Idaho|Bear Lake|M|26.3|31.9
Idaho|Benewah|M|29.7|34.0
Idaho|Bingham|M|30.4|37.0
Idaho|Blaine|M|19.9|27.3
Idaho|Boise|M|27.8|35.8
Idaho|Bonner|M|24.6|28.9
Idaho|Bonneville|M|25.3|35.4
Idaho|Boundary|M|25.1|32.5
Idaho|Butte|M|28.0|34.0
Idaho|Camas|M|24.7|35.5
Idaho|Canyon|M|28.3|34.3
Idaho|Caribou|M|28.1|36.3
Idaho|Cassia|M|27.8|37.9
Idaho|Clark|M|29.3|37.7
Idaho|Clearwater|M|27.2|33.4
Idaho|Custer|M|25.3|33.1
Idaho|Elmore|M|26.8|33.9
Idaho|Franklin|M|25.4|33.5
Idaho|Fremont|M|24.3|30.8
Idaho|Gem|M|29.1|35.6
Idaho|Gooding|M|29.4|37.1
Idaho|Idaho|M|25.3|34.1
Idaho|Jefferson|M|28.5|36.9
Idaho|Jerome|M|29.0|37.3
Idaho|Kootenai|M|25.3|30.7
Idaho|Latah|M|26.1|29.8
Idaho|Lemhi|M|25.5|32.9
Idaho|Lewis|M|27.2|34.4
Idaho|Lincoln|M|26.2|35.6
Idaho|Madison|M|27.4|34.9
Idaho|Minidoka|M|26.8|36.5
Idaho|Nez Perce|M|28.9|36.3
Idaho|Oneida|M|27.9|34.1
Idaho|Owyhee|M|32.8|36.9
Idaho|Payette|M|31.2|33.2
Idaho|Power|M|30.4|36.4
Idaho|Shoshone|M|28.0|35.4
Idaho|Teton|M|23.2|30.4
Idaho|Twin Falls|M|27.9|32.2
Idaho|Valley|M|23.3|31.6
Idaho|Washington|M|30.9|36.1
Illinois|Adams|M|28.1|32.5
Illinois|Alexander|M|32.1|40.5
Illinois|Bond|M|30.8|34.8
Illinois|Boone|M|29.3|34.4
Illinois|Brown|M|33.2|37.2
Illinois|Bureau|M|26.6|34.9
Illinois|Calhoun|M|27.2|35.0
Illinois|Carroll|M|29.3|36.0
Illinois|Cass|M|28.9|37.6
